[ 2025-02-17 17:42:09,986 ] 26 root - INFO - Entered the data ingestion method or component
[ 2025-02-17 17:42:10,010 ] 30 root - INFO - Read the dataset as dataframe
[ 2025-02-17 17:42:10,050 ] 36 root - INFO - Train test split initiated
[ 2025-02-17 17:42:10,067 ] 43 root - INFO - Inmgestion of the data iss completed
[ 2025-02-17 17:42:10,114 ] 86 root - INFO - Read train and test data completed
[ 2025-02-17 17:42:10,114 ] 88 root - INFO - Obtaining preprocessing object
[ 2025-02-17 17:42:10,114 ] 62 root - INFO - Categorical columns: []
[ 2025-02-17 17:42:10,114 ] 63 root - INFO - Numerical columns: ['Variance', 'Standard_Deviation', 'Entropy', 'Skewness', 'Kurtosis', 'Contrast', 'Energy', 'ASM', 'Homogeneity', 'Dissimilarity']
[ 2025-02-17 17:42:10,114 ] 100 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2025-02-17 17:42:10,123 ] 112 root - INFO - Saved preprocessing object.
[ 2025-02-17 17:42:10,125 ] 40 root - INFO - Split training and test input data
[ 2025-02-17 17:42:14,039 ] 136 root - INFO - Best found model on both training and testing dataset
